id,title,url,date,feed,type,description,image,_url,site_name,image:width,image:height,locale,latitude,longitude,streetaddress,city,state,image:type,updated_time,image:url,email
53,Learning to Think Like a Computer,https://www.nytimes.com/2017/04/04/education/edlife/teaching-students-computer-code.html,2017-04-04T16:46:53,instapaper,article,"Computational thinking — approaching problems the way a programmer would — is captivating educators, from kindergarten teachers to college professors.",https://static01.nyt.com/images/2017/04/09/education/09COMPUTE1/09COMPUTE1-facebookJumbo.jpg,https://www.nytimes.com/2017/04/04/education/edlife/teaching-students-computer-code.html,,,,,,,,,,,,,
49,Opinion | Syria Changed the World,https://www.nytimes.com/2017/04/21/sunday-review/one-countrys-war-changed-the-world.html,2017-04-28T16:20:05,instapaper,article,"The West tried to ignore “Muslims killing Muslims,” but the war in Syria has engulfed us all.",https://static01.nyt.com/images/2017/04/23/opinion/sunday/23barnard/23barnard-facebookJumbo.jpg,https://www.nytimes.com/2017/04/21/sunday-review/one-countrys-war-changed-the-world.html,,,,,,,,,,,,,
23,China’s All-Seeing Surveillance State Is Reading Its Citizens’ Faces,https://www.wsj.com/articles/the-all-seeing-surveillance-state-feared-in-the-west-is-a-reality-in-china-1498493020,2017-06-28T00:50:51,instapaper,article,Facial-recognition systems crunch data from ubiquitous cameras in a vast social-engineering experiment. Petty offenders face public shaming.,https://si.wsj.net/public/resources/images/BN-UA278_0626RA_TOP_20170626104337.jpg,https://www.wsj.com/articles/the-all-seeing-surveillance-state-feared-in-the-west-is-a-reality-in-china-1498493020,WSJ,,,en_US,,,,,,,,,
50,A New Parchment Declaration of Independence Surfaces. Head-Scratching Ensues.,https://www.nytimes.com/2017/04/21/arts/a-new-parchment-declaration-of-independence-surfaces-head-scratching-ensues.html,2017-04-23T13:09:58,instapaper,article,"Two Harvard scholars argue that an unknown parchment copy of the Declaration, seemingly made in the 1780s, offers clues to the debate over the Constitution.",https://static01.nyt.com/images/2017/04/22/arts/22declaration-1/22declaration-facebookJumbo.jpg,https://www.nytimes.com/2017/04/21/arts/a-new-parchment-declaration-of-independence-surfaces-head-scratching-ensues.html?nytmobile=0,,,,,,,,,,,,,
52,Do U.S. Strikes Send a ‘Message’ to Rivals? There’s No Evidence,https://www.nytimes.com/2017/04/21/world/do-us-strikes-send-a-message-to-rivals-theres-no-evidence.html,2017-04-22T01:44:33,instapaper,article,"The Trump administration says its missions in Syria and Afghanistan sent a warning to North Korea, but repeated studies have found that notion to be baseless.",https://static01.nyt.com/images/2017/04/21/world/21int-signals-1/21int-signals-1-facebookJumbo.jpg,https://www.nytimes.com/2017/04/21/world/do-us-strikes-send-a-message-to-rivals-theres-no-evidence.html?nytmobile=0,,,,,,,,,,,,,
54,"Nasty, brutish, and short—what the next Korean War will look like",https://qz.com/950488/nasty-brutish-and-short-what-the-next-korean-war-will-look-like/,2017-04-15T18:06:55,instapaper,article,The world is accustomed to attention-seeking military stunts from the North. It's just that they're getting harder to dismiss.,https://qzprod.files.wordpress.com/2017/04/rts11w2m-e1491497729323.jpg?quality=80&strip=all&w=1600,https://qz.com/950488/nasty-brutish-and-short-what-the-next-korean-war-will-look-like/,Quartz,1600,900,en_US,,,,,,,,,
56,Inside the 8-month reinvention of an unprofitable college newspaper,https://www.poynter.org/news/inside-8-month-reinvention-unprofitable-college-newspaper,2017-04-04T20:02:36,instapaper,,,https://www.poynter.org/sites/default/files/wp-content/uploads/2017/04/The_Daily_Tar_Heel_office.jpg,http://www.poynter.org/2017/inside-the-8-month-reinvention-of-an-unprofitable-college-newspaper/454455/,Poynter,,,,,,,,,image/jpeg,,,
57,"Opinion | In Trump Country, Shock at Trump Budget Cuts, but Still Loyalty",https://www.nytimes.com/2017/04/01/opinion/sunday/in-trump-country-shock-at-trump-budget-cuts-but-still-loyalty.html,2017-04-02T13:32:59,instapaper,article,People who have depended on programs that would be hurt by the president’s cost-cutting say they stand by him.,https://static01.nyt.com/images/2017/04/02/opinion/sunday/02kristof/02kristof-facebookJumbo.jpg,https://www.nytimes.com/2017/04/01/opinion/sunday/in-trump-country-shock-at-trump-budget-cuts-but-still-loyalty.html?nytmobile=0,,,,,,,,,,,,,
64,North Korea Is Practicing for Nuclear War,https://foreignpolicy.com/2017/03/09/north-korea-is-practicing-for-nuclear-war/,2017-03-12T23:19:48,instapaper,article,North Korea isn’t testing its missiles. It’s preparing for a nuclear first strike.,https://foreignpolicymag.files.wordpress.com/2017/03/gettyimages-649080078.jpg,https://foreignpolicy.com/2017/03/09/north-korea-is-practicing-for-nuclear-war/,Foreign Policy,,,,,,,,,,,,
62,Trump wants to defund PBS. ‘Sesame Street’ brutally parodied him for decades.,https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/03/20/trump-wants-to-defund-pbs-sesame-street-brutally-parodied-him-for-decades/,2017-03-20T20:59:51,instapaper,article,"""Grump” appears in three episodes spanning decades — sowing fear and chaos and inspiring a political march down Sesame Street.",https://www.washingtonpost.com/pbox.php?url=http://www.washingtonpost.com/blogs/style-blog/files/2017/03/Screen-Shot-2017-03-20-at-8.44.19-AM.jpg&w=1484&op=resize&opt=1&filter=antialias&t=20170517,https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/03/20/trump-wants-to-defund-pbs-sesame-street-brutally-parodied-him-for-decades/,Washington Post,,,,,,,,,,,,
